Username;Review;Untruthful Opinion;Review on Brand Only;Non-Review;Review Length Short;Burstiness;Maximum Content Similarity;Extreme Rating
nwoerl;Liat penggunaan 3 hari yaa, terus kamera depannya dapet yg hasilnya merah but its okai yg lainnya aman;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
o*****4;Barang sampe dengan selamat, kondisi fisik mulus OK. semuanya normal, sinyal all op. admin ramah fasrespon. semoga hpnya awet berkah teros;Asli;Asli;Palsu;Asli;Asli;Palsu;Palsu
our.pajamas;Udah 2x order di toko ini, gak pernah kecewa.. hpnya udah sampai dengan selamat 😍 unit yg dikasih bagus banget, seller juga fast respon & ramah banget.. ngasih garansi juga lumayan lama, semoga awet hpnya;Palsu;Palsu;Palsu;Palsu;Asli;Palsu;Palsu
p*****3;fisik mulus bgt, ga request tp dikasih BH 94. overall puas bgt sih 😍😍😍;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
p*****7;Barang dalam kondisi bagus, pengiriman cepat terimakasih seller;Asli;Asli;Palsu;Asli;Asli;Palsu;Palsu
p*****i;Wah makasih Applehouse Store, ini barangnya sesuai sama harga sih. Ga usah takut beli di sini krn sblm diperjualbelikan udh quality check dulu pastinya. Second inter dengan kualitas yg masih bagus, kinerjanya jg cepat, dpt BH 89% setelah seminggu baru turun 1%🤫.  Layar mulus, kamera juga oke bgtt❤️🌷;Asli;Palsu;Asli;Palsu;Palsu;Palsu;Palsu
p*****p;Baik;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
perbawateguh1;Bagus bnget barang y gak nyesel beli di sini, admin y juga ramah bnget ,;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
prita.ariyanti;Ka bagus bangett alhamdulillah terimakasih atas kepercayaan nya... semua normal aku baru kasih ulasan hmpir mau 1 bukan krna sengaja juga tapi its ok.;Asli;Asli;Asli;Asli;Asli;Palsu;Palsu
putramardi;Barang aman dan sangat bagus;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
q*****1;sudah 2x order disini . Amanahh barang bagusss tanpa cacat😍😍;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
qotimah908;alhamdulillah sampai juga, semoga awet;Asli;Asli;Asli;Palsu;Asli;Asli;Asli
queenetha29;baik sekali The best;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
r*****_;bgusss bngetttttt wowww;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
r*****i;Standar;Asli;Asli;Asli;Palsu;Asli;Palsu;Asli
r*****y;bagusss suaranya menurut aku nyaring banget klo buat basnya standart si tp tetep enakuenn👍🏻, BERHARAP AWET YA SOALNYA HARGANYA JG GA MURCE BAGI KAUM PELAJAR😀🙏🏻 BAGUS BGT NGET NGET INTINYA;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
ra_018;Ten star.;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
rahmatiaumrdjais29_;Bagussss pokoknya... Sblm di kirim.. Semua di infokn dlu🙏🏻🙏🏻🙏🏻;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
raihanidema;mantap !!!;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
raihanrizkyfadilah22;mulus untuk fisik good masih mulus, tapi untuk sistem masih belum tau. semuanya ok. ya semoga awet deh dan ga terjadi kendala atau masalah yang serius. untuk penjual ramah dan fast respon Terima kasih.;Asli;Palsu;Palsu;Palsu;Asli;Palsu;Palsu
raniwiji;Maaf ga sesuai fotonya , paket udah sampe min makasih ya;Asli;Asli;Asli;Asli;Asli;Palsu;Palsu
redwood_industries;Barang mantap, berfungsi normal;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
restr.id;Udah kedua kalinya order disini, semua normal dan memuaskan. Tengkyuu;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
rioardiyanesa;Langganan beli disini semoga yang ini amanah yah min..lancar terus buat apel house;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
riskiiki15;baranh nyampe dgn selamat semoga awet;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
rizkisuhendra;Sesuai dengan harga;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
rnurroby;Ketiga kalinya beli diappelhouse, tapi pertama kali online, ramah chat langsung dibalas... tapi tukang kurir lama😔;Asli;Asli;Palsu;Asli;Asli;Asli;Palsu
rpratamaw_;best;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
s*****4;body mulus Kya barukk nya responsif bgt, di kabarin klo yg ungu barusan sold out, di suruh nunggu stock lgi ternyata cepet bngt cuma sejaman aja. kondisi juga mulus bgt bh 100% pemakaian seminggu juga nggada penurunan bh dan kendala lain nya. saran aja klo chas jngn pke kabel yg di ksih biar bhnya awet.;Asli;Asli;Palsu;Palsu;Asli;Palsu;Palsu
s*****a;Mayan lah ya sesuai harga, kadang sering bunyi dan terjeda sendiri gak tau kenapa ☹️;Palsu;Asli;Asli;Asli;Asli;Asli;Asli
s*****h;Baru sehari udh nggak bisa dipake;Asli;Asli;Asli;Palsu;Palsu;Palsu;Palsu
s*****r;Aa seneng sekali . Alhmdulillaah mendarat dgn selamat dan sesuai sama yg dipesan  . Mimin fast respon sekali..  Mantap 🫶;Asli;Asli;Palsu;Asli;Asli;Asli;Palsu
saddam_hsp;sejauh ini masih okey oeky saja Bagus sesuai dengan harga dan merek semoga nda ada kendala untuk kedepanya;Asli;Palsu;Asli;Asli;Asli;Asli;Palsu
saddam_hsp;pantasan sangat masuk akal dan bikin tenang Untuk sotrenya sudah okey cuman expedisinya sumpah lama sekali sampai mau ada 2 minggu lebih di penyortiran ini hp tetau kenapa teman teman kalau mau kirim barang kalau pakai jnt pikir baik baik kalau butuhnya cepat;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
sayshinta.m31;bagus bgt sukaaaaa;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
seco_mjg;Seller iphone rekomendasi Beneran rekomendasi Penjual ramah I-Phone berjalan dgn baik. Ada kartu garansi toko juga Mantap pokok nya Beneran mantap Nex order disni lagi;Asli;Palsu;Asli;Asli;Asli;Asli;Palsu
septian_ch;untuk kondisi fisk sesuai QC dari toko Untuk admin lumayan sangat membantu dari segi informasi Untuk barang yg d terimaa lumayan bagus meskipun bekas ,untuk kualitas  barang di sisi IMEI dan access provider gsm lancar gak ada harus ganti kartu. Semoga kedepan nyaa yg hp bekas dikurangi penerimaan yg lecet lecet di bodynya;Asli;Palsu;Asli;Palsu;Asli;Palsu;Palsu
simanyul20;Pelayanan ramqh, baik , harga terjangkau bisa mencari solusi bersama mengatasi masalah keuangan;Asli;Asli;Palsu;Asli;Asli;Asli;Palsu
siwidwia;Barang masih mulus, bagus ^^;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
solikhahtias14;Mantappp boskuu, lancar jayaa;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
sujikemzillny05;Mantap kualitas bagus Fungsional semua , recommended buat yang mau beli tapi harga murah dan kualitas oke, Disni jawaban nya;Asli;Asli;Asli;Asli;Asli;Palsu;Palsu
tantifitriani04;babguss Sampe dengan selamatt;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
tataalvaro9;90% mulus;Asli;Asli;Asli;Palsu;Asli;Asli;Asli
taufikhimawan29;Mantan sesuai pesanan..;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
triagusprz;beli di konter, gk suka karena di krubutin sama staff ya. jadi bikin kurg nyaman 😭;Asli;Asli;Asli;Asli;Asli;Asli;Asli
trinellwibisana;wuawwwwww;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
u*****1;Pembelian kedua, adminnya baik bgt masyaallah, mau aku repotin dari awal beli sampe deal, untuk kondisi body belakang ada baret2 tapi ga masalah namanya jg beli barang second jadi wajar2 aja yg penting unit ga bermasalah. Thanks applehouse.store✨;Asli;Palsu;Asli;Palsu;Asli;Palsu;Palsu
u*****d;Layarnya katanya mulus padahal ada leceeett lumayann but isokeeyyy 👍🏻, yang disayangkan baterainya borosss abisss padahal BH 100%🫢 tapi masa turun sampe 10% dalam waktu 3 jam, padahal kondisi data wifi dll mati, ga dimainin sama sekali. Udah coba complaint tapi nda ada solusi yang oke🫢Makasih🙏;Asli;Asli;Asli;Palsu;Asli;Palsu;Asli
v*****n;Terimakasih. Barang sudah sampai tujuan. Sangat aman, amanah belanja di toko ini. Sukses selalu kak. Amin;Asli;Palsu;Asli;Asli;Asli;Palsu;Palsu
v*****s;baguss bgttt pengiriman nya jg cepettt;Asli;Asli;Palsu;Palsu;Asli;Palsu;Palsu
v*****z;Sudah sampai.. pesanan teman.. puas dan rekomended. Makasii ya;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
vadeliasya;Minta yg battery health nya terbaik dikasi yang 90% an hehe thankyouuu....;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
via861015;dapet baterai health 85 its okey;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
viiiaaannn;"Alhamdulillah dapet unit yang Mulus bet, like new.. no kaleng""... untuk fungsi sejauh ini aman... 👍 Dan yang paling keren Mimin nya bener"" all out dalam ngejelasin unitnya. Puas dah belanja disini.. highly recomended👍👍.";Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
vini3103;Anak ku happy hp nya sudah sampai dengan cepat & selamat sesuai yang diharapkan, hpnya imut, bagus, masih mulus, dapat BH 90 %, semuanya lengkap, ada kartu garansinya jg, packaging aman, harga juga masih termasuk terjangkau sesuai, meskipun awalnya ingin warna silver atau gold tetapi stok kosong, tp ya sudah tdk apa2 anaknya tetap happy, semoga awet. Yuk yg mau order jangan ragu dijamin seller amanah in sya Allah. Next order lg. Thanks seller sukses selalu. 🙂;Asli;Asli;Palsu;Palsu;Asli;Palsu;Palsu
w*****6;Admin baik dan ramah..sabar jawab setiap pertanyaan dengan detail dan telaten.. pas barang sampai seneng banget karena nampak like new.. BH 93% mantap pokonya puas belanja di appelstore..ahirnya aku pakai iPhone juga😭🥰;Asli;Palsu;Asli;Palsu;Asli;Palsu;Palsu
wahyu_baweng27;Kualitas terbaik barangnya ori mulus dan dapat bh yang 94% semoga awet hpnya;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
wdyekaaprll;hrusnya bonus kartu perdana tapi pas sampe rumah kartu perdananya ga ada :(;Asli;Asli;Asli;Asli;Asli;Asli;Asli
wjduna21;Pengiriman cepat, packing kayu tanpa diminta jd barang sampai keadaan selamat dan aman. Bat Health dikasi masih 95% yeayyy, barang mulus. Semoga awet kedepannya;Asli;Asli;Palsu;Asli;Asli;Asli;Palsu
x*****k;Bismillah semoga awet;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
y*****s;Bagus bangeetttttt dan barangnya mulussssssss Recomended bangettt;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
yogilegato212;penjual ramah;Asli;Palsu;Asli;Palsu;Asli;Palsu;Palsu
yolandamaharaniputri;Kacau bangeettt sampai skrng unit belum diterima krn bolak balik retur dg kondisi unit yang bermasalah, rugiiiiii waktu dan biaya ongkir. Sangat menyulitkan dan merugikan. Penggantian dll nya lambat sampai skrng belum diatasi dg baik. KECEWA PARAH!!!!! Hati-hati yang bakal order disini;Palsu;Asli;Asli;Palsu;Asli;Palsu;Asli
yulia.aja;Pertama kali beli ip online ,mudah²an terbaik ..smpat ragu dan berkali kali chat admin tp responnya sllu baik ..merasa puas walaupun online ..pertahankan dan smoga lbih baik kak.mudah²an ip ku awet;Asli;Asli;Palsu;Palsu;Asli;Asli;Palsu
yusnitanit;Thx reseler barang cepat sampai Ini pembelian ke 2 x nya sudah dicoba anak saya ok...tapi sayang pengemasanya kurang rapih harusnya lebih septi lagi Thx reseler;Asli;Asli;Palsu;Asli;Asli;Palsu;Palsu
yusrina_wijaya;Baterai healthnya masih mantul sekali;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
zaki_ec;Respon penjual baik,barang sesuai pesanan,semoga awet dan tidak ada masalah...sukses selalu buat penjual semoga berkah;Asli;Palsu;Palsu;Asli;Asli;Asli;Asli
.*****y;Terimakasih...... barang sudah diterima dalam kondisi baik dan bagus. Tokonya amanah..;Asli;Palsu;Asli;Asli;Asli;Palsu;Palsu
0903n;paling murah daripada toko lain;Asli;Palsu;Asli;Palsu;Asli;Asli;Palsu
11jefry_.;Barang sesuai pesanan the best, tapi pengiriman lambat tapi okelah recommended 👍👍;Asli;Asli;Palsu;Asli;Asli;Asli;Palsu
12345rusniyah;Bagus sesuai;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
21_05.86;Bagus...produk ori;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
2drzbje5ht;Sepadan dngn hrga;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
a*****1;Pengiriman cepat respon penjual baik barang kwalitas bagus material baik semoga awet terimakasih seller shppee 👍👍👍👍👍👍;Asli;Palsu;Palsu;Asli;Asli;Palsu;Palsu
a*****2;Baik sesuai pesanan pakai instan jadi ngak ada 1 jam sudah sampai.. semoga awet 🤲 terimakasih 🙏;Asli;Asli;Asli;Asli;Asli;Palsu;Palsu
a*****7;Alhamdulillah,, keren pokoknya.. Pengiriman juga wuuussssst.. pesan kemarin siang sekarang sudah datang.. Thangkiyi seller, thangkiyu kurir..;Asli;Asli;Palsu;Asli;Asli;Asli;Palsu
a*****9;sangat puaasss belanja online di lapak ini respon cepat tangap barangnypun ok ori segel di jamin Amanah sekali beli di lapak ini terima kasih atas pelayanya buat kurirnya ok professional kurir.;Asli;Asli;Palsu;Asli;Asli;Asli;Palsu
a*****a;Pengiriman aman pakai grab express,,cpet juga smpex Semoga awet hpx,,,makasih kak🙏;Asli;Asli;Palsu;Asli;Palsu;Asli;Asli
a*****a;Sudh 2x beli di toko ini,,,sellerx ramah dan respon banget makasih juga gratisanx🙏;Asli;Palsu;Palsu;Asli;Palsu;Asli;Asli
a*****p;Mantap;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
a*****s;Terima kasih atas layanan nya. barang di packing dg bubble tebal barang aman, HP kondisi normal dan bisa langsung digunakan. Lapak terpercaya;Asli;Asli;Palsu;Asli;Palsu;Palsu;Palsu
aankarina85;seller komunikasinya bagusss... mantapp Ori;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
abbasazzamkhan;Sesuai pesanan,tidak ada kendala,mantaaaaapp;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
abu_bakar.99;Belum coba, semoga baik & cocok;Palsu;Asli;Asli;Palsu;Palsu;Palsu;Palsu
abu_bakar.99;Barang bagus, ORI, segel & lengkap;Asli;Asli;Asli;Palsu;Palsu;Asli;Palsu
achzubaidiaassyfii;oke;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
achzubaidiaassyfii;baik² lah;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
adebagus1705;Barang sesuai pesanan semoga awet;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
adellpatricia;Barangnya bagus. Admin sangatt memuaskan juga. Untuk harga lebih murah dari toko lain . Semoga amanah selalu ya kak.;Asli;Palsu;Asli;Asli;Asli;Asli;Palsu
adelyaayubk;Termasuk paling murah dan paling cepet sampeknyaaa🥰🤗Penjualnya begitu ramah sekali😍🤌🙏;Asli;Palsu;Asli;Asli;Asli;Palsu;Palsu
afan_yiin;Kualitas barang sangat bagus,  harga murah,  pengiriman sangat cepat makasihh kakkk;Asli;Asli;Palsu;Asli;Asli;Palsu;Palsu
afifatulsr;Dtg dengan kondisi baik. Tapi admin kurang ramah;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
aimmatulhusna12;Sudah kedua kalinya beli disini.. Toko Amanah dan Barang Original.. Terima kasih 🙏😊;Asli;Palsu;Asli;Asli;Asli;Palsu;Palsu
ainurrizal885;Alhamdulillah barang sampai dengan selamat tampa cacat,, barang sesuai,, toko amanah, terima kasih bonusnya.;Asli;Palsu;Asli;Asli;Asli;Palsu;Palsu
aiohronline;Pengiriman super cepat;Asli;Asli;Palsu;Palsu;Asli;Palsu;Palsu
ais_aisyah30;Mantap.. Makasih kak;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
alfianalfi96;InshaAllah amanah Terimakasih kakak seller;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
alfizaidatulilmiyah;Respon cpet banget..,🤗🤗;Asli;Asli;Palsu;Palsu;Asli;Asli;Palsu
allanalunggoro;Murah bagus sepadan dengan harga pengiriman cepat next order lagi disini pastinya;Asli;Asli;Palsu;Asli;Asli;Palsu;Palsu
almirazafran_21;Packing sangat aman .. barang original;Asli;Asli;Palsu;Palsu;Asli;Asli;Palsu
almuqsitcell;Ok;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
aloylihul;Packing nya oke banget,seller nya respon cepat,pengiriman nya cepat juga,pesan sore siang nya SDH sampai Jombang,produknya original dan masih tersegel,pokoknya toko ini recommend banget.;Asli;Palsu;Palsu;Asli;Asli;Palsu;Palsu
alviada3000;Perfeck;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
alvin.shope;barang sesuai pesanan. seller sangat ramah,selalu respon saat di chat. pengiriman sangat cepat. rekomended seller;Asli;Asli;Palsu;Asli;Asli;Palsu;Asli
alysafarahalby;good;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
amie_fha;oke lah;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
amirsultonabdussalam;prodok ori;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
anaspereira;Terima kasih pesanan diterima dengan baik, packing sangat rapih dan pengemasan sampai pengiriman sangat cepat 👍👍;Asli;Asli;Palsu;Asli;Asli;Palsu;Palsu
andiasri1076;Sangat sesuai dengan yg diharapkan.;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
andiyusran;Alhamdulillah barangnya sdh smpai dgn aman n semoga awet pemakaian kedepan, trimakasih bonusnya, tp ntah adaptoenya ori atau tdk, kardusnya udh di kletek.;Asli;Asli;Asli;Asli;Asli;Palsu;Palsu
andrani.lacipe;Amanah terpercaya. Mantap;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
andreasdriver;Respon penjual sangat baik & sabar.. kwalitas produk baik sesuai dengan harga , mudah-mudahan awer & tahan lama... Packing sangat rapih... Barang tiba dengan aman;Asli;Palsu;Palsu;Asli;Asli;Palsu;Palsu
andridwinilamsari010717;Barang original, garansi jalan saat hp di aktifkan, recomended seller, seller membantu mengaktifkan garansi dan menjelaskan dgn detail,;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
anggafantya;Cepet bagus dan sesuai kak;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
anggitadaniswari;Alhamdulillah seller amanah dan dikasih bonus screenguard.fastrespon juga;Asli;Asli;Palsu;Asli;Asli;Asli;Palsu
anisekawati25;Barang diterima dengan baik tanpa cacat. Pengemasan rapi dan aman. Berfungsi dgn baik. Barang sesuai dengan deskripsi produk. Thanks seller ❤;Asli;Asli;Palsu;Asli;Asli;Palsu;Palsu
antogizka;Paketan sudah sampai dan sesuai dengan pesanan Terima kasih seller;Asli;Asli;Asli;Asli;Asli;Palsu;Palsu
ardiansyahnuroktavian;pengiriman cepat . mantap;Asli;Asli;Palsu;Palsu;Asli;Palsu;Palsu
arieana1927;barangnya bagus+ori 👍 harga sepadan sama hpnya 👍;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
artistic_material;Pokoknya the best. Barang ori, Penjual sabar menghadapi kebawelanku. Wkwkkw Barang baru, buku garansi oke. Kelengkapan mantul.;Asli;Palsu;Asli;Asli;Asli;Asli;Palsu
asabayu;Lengkap dapat bonus banyak Rekom tokonya Chat juga dbls Terimakasih kasih;Asli;Palsu;Asli;Asli;Asli;Asli;Palsu
atiktia;Gak sampe sejam udah sampai dong, maaciiihh seller best dahhh;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
awaiy1993;Dapat hrga 5jt Pas!!! 🤣🤣🤣Akhirnya....🥰 Hp Awet✅ Flash Charger✅ Kamera Potret Terbaik✅ Udh dari Reno 6 kemaren ga kesampaian beli,😌 Hampir 4 thun pake Oppo ga pernah ada kendala,🏅 Sampe bengkok2 Hp nya masih tetap Kuat 💪 The Best Always OPPO 🎉🎉🎉;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
ayuagustira0508;mantap,pengeriman cepat, kwalitas ok, ori new, rekomdn pokoknya bossss;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
b*****1;original;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
b*****1;Semoga awet, menambah ilmu dan rezeki yang berkah. Allahumma Aamiiin;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
b*****2;alhamdulillah barang sudah sampai, terimakasih;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
b*****2;awalnya sempet ragu, takut gak ori.. tapi pas datang, oke banget nih... admin fast respon pula...good lah;Asli;Asli;Palsu;Asli;Asli;Asli;Palsu
b*****i;Original;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
b*****i;Mantapp 👍👍👍;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
b*****i;Terbaik 👍👍👍;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
b*****x;Ok Sip..;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
bagussetiawansangkarjayasby;recommeded seller next order lagi mantap josss oke;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
brightness_maharani;Terimakasih banyak kak Barangnya sudah datang sesuai dengan warna yang aku pilih Sellernya baik banget Dapet bonus silicon cashing Terimakasih sekali lagi kak;Asli;Asli;Asli;Asli;Asli;Palsu;Palsu
bu123x;The best seller ramah, jujur, dan responsif, barang kualitas oke, pengiriman super cepat dan aman, pelayanan yang luar biasa. PERFECTO;Asli;Asli;Palsu;Asli;Asli;Asli;Palsu
bunyaminarsyad;Terpercaya, fast response;Asli;Asli;Palsu;Palsu;Asli;Asli;Palsu
c*****2;Bener* amanah dan super aman dikasih bubblenya tebell ... Pengiriman cepat sellernya gercep bls chatnyaaa terima kasihhhh banyak sukses selalu...;Asli;Asli;Palsu;Asli;Asli;Asli;Palsu
c*****e;Barang ori, amanah;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
c*****o;murah dari pada harga di toko resmi;Asli;Palsu;Asli;Palsu;Asli;Asli;Palsu
c1vw54vrzl;Alhamdulillah pengiriman cepat, tepat waktu, barangnya sesuai dan puas;Asli;Asli;Palsu;Asli;Asli;Palsu;Palsu
cailsamellyana;Bagus banget;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
cakhidayat;Trims, sesuai;Asli;Asli;Asli;Palsu;Asli;Asli;Asli
cakwul;Barang bagus sesuai pesanan respon cepat,cuma pengemasan agak lambat.;Asli;Asli;Palsu;Asli;Asli;Palsu;Palsu
chi_ta;Pengemasan dan pengiriman super sekali;Asli;Asli;Palsu;Palsu;Asli;Palsu;Palsu
cibi.ols;Toko amanah, packing bagus, good job....;Asli;Palsu;Palsu;Palsu;Asli;Asli;Palsu
cutlaela;Trimakasih min barang sudah di terima dgn baik...;Asli;Asli;Asli;Palsu;Asli;Palsu;Asli
d*****3;Barangnya bagus ,realpick , original,pesan pakai instan malam habis magrib isya sdh sampai langsung dikirim seketika respon penjual jg baik ,penjual ramah ,pokoknya mantul deh, semoga lancar dan sukses 👍🙏;Asli;Palsu;Palsu;Palsu;Asli;Asli;Palsu
d*****8;Produk ori pengiriman juga cepet.. sangat recomended... Thx...;Asli;Asli;Palsu;Asli;Asli;Asli;Palsu
d*****8;Terimakasih seller sangat fastrespon,pengiriman cepat,barang original,harga termurah,kualitas oke .sukses seller .;Asli;Asli;Palsu;Asli;Asli;Palsu;Palsu
d*****_;sepadan;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
damang;Penjual fast respon,ramah,bayar langsung barang d kirim d hari yg sama,paket d packing bnr2 aman buble wrap berlapis lapis,amanah.;Asli;Palsu;Palsu;Asli;Asli;Asli;Palsu
dani102425;Respon admin dan pengiriman cepat sekali;Asli;Asli;Palsu;Palsu;Asli;Palsu;Palsu
decin96;Amanah poollllll;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
dedi1320;Recomended;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
dedy_ahmad04;mantabz;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
denis_tornado;Awalnya ragu karena jarak yg sangat jauh Tp ternyata alhamdulilah, paket datang dgn selamat dan barangnya sangat mantaf Makasih seller udah ngeyakinin aku;Asli;Asli;Asli;Asli;Asli;Palsu;Palsu
dewi_harya_ridwan.;mantap... semoga awet;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
dhands82;sesuai deskripsi;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
dhemith;Harga murah meriah;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
dhimaskoplax;Barang bagus, packing rapi aman. Penjual ramah kurir cepat. Istri suka sama hape nya. Thanks;Asli;Palsu;Palsu;Asli;Asli;Palsu;Palsu
dickyrachmad;mantappp;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
dickyrr_store;Baterai habis total bosku,, jadi diisi dulu baru bisa dinyalakan....Ga Bahaya ta... Hehe;Asli;Asli;Asli;Asli;Asli;Asli;Asli
diyahqueens;good;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
donbos;100% aman;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
dwininggarsari123;Alhamdulillah tokonya amanah terimakasih  buat toko dan mas kurirnya juga,good job👍;Asli;Palsu;Palsu;Asli;Asli;Asli;Palsu
edysusanto2019;bagusss;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
ekoaji2304;Bagus dapat free case;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
elsavary;Barang aman ok baru .. toko trusted.. pengiriman cepatttt pesan jam 11 siang nyampe jam 2 siang… toko fast respon walaupun aku agak bawel wkwkwk;Asli;Palsu;Palsu;Asli;Asli;Asli;Palsu
endah_anasari;Brg sdh diterima dg kondisi baik. Packing aman bubble tebal. Free charger. Dikirim hr yg sama. Baru kali ini beli hp online ternyata nyampe jg👍👍👍;Asli;Asli;Palsu;Asli;Asli;Palsu;Palsu
ephaarachma;Sempet deg2an.. alhmdulillah nyampe dgn cepat dan selamat 👍;Asli;Asli;Asli;Asli;Asli;Palsu;Palsu
errysriwandani;Pengiriman kilatttt, kemasan bagusss...respon penjuaaalll cepat....makasihhhhh.......;Asli;Asli;Palsu;Asli;Asli;Asli;Palsu
f*****1;Terpercaya;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
f*****7;Ok terima kasih👍👍👍👍👍;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
f*****a;Paket sdh sampai. Seler amanah. Paket aman. Kurir telepon dulu sebelum ngasih paket ya;Asli;Asli;Palsu;Asli;Asli;Asli;Palsu
f4nani;Sip. Sesuai harga;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
fadilah88achmad;Seandainya penilaian bintang lebih dari 5 pasti saya kasih nilai extra lebih Respon admin gercep Kirim instan lansung dikirim,gak perlu nunggu waktu 1atau2jam br dikirim Recomended banget beli di toko ini👍;Asli;Palsu;Palsu;Palsu;Asli;Palsu;Palsu
faisol048;barangnya bagus;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
faizalpungki13;Mantap dah pokoknya rekomen banget.. boublewrapnya tebel aman sampai tujuan..;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
faridatulkomariyah;Pengiriman cepet banget...... Makasih 🙏🙏🙏🙏;Asli;Asli;Palsu;Palsu;Asli;Palsu;Palsu
